Listado de los ePub:
Abducción Cook, Robin
Abraza la oscuridad Buckowski, Charles
Abyss Scott Card, Orson
Abzurdah Latini, Cielo
Ácido sulfúrico Nothomb, Amelie
Acorralado Campbell, Ramsey
Acqua alta Leon, Donna
Adiós Cataluña Boadella, Albert
Adorable canalla Peñalver, Mónica
Aeropuerto (1968) Hailey, Arthur
Afortunada Sebold, Alice
Africanus, el hijo del cónsul Posteguillo, Santiago
Aguardando Al Año Pasado Dick, Philip K
Aguas primaverales Hemingway, Ernest
Aguilas y Cuervos Gedge, Pauline
Agujeros Negros y Pequeños Universos Hawking Stephen
Ahora y siempre Finney, Jack
Aire Frío Lovecraft, H. P.
Al borde de la nada (La ciudad envuelta) Brunner, John
Al Calor Del Verano Katzenbach, John
Al este del Edén Steinbeck, John
Al Oeste Del Eden Harrison, Harry
Al otro lado del tiempo Bach, Richard
Al romper el alba Hemingway, Ernest
Alamut Bartol, Vladimir
Alaska Michener, James A
Alatriste 01 - El Capitan Alatriste Pérez-Reverte, Arturo
Alatriste 02 - Limpieza de Sangre Pérez-Reverte, Arturo
Alatriste 03 - El sol de Breda Pérez-Reverte, Arturo
Alatriste 04 - El oro del rey Pérez-Reverte, Arturo
Alatriste 05 - El caballero del jubón amarillo Pérez-Reverte, Arturo
Alatriste 06 - Corsarios De Levante Pérez-Reverte, Arturo
Alba de Saturno Clarke, Arthur C.
Alcanza el mañana Clarke, Arthur C.
Alejandro Magno Renault, Mary
Alejandro Magno en la casa de la muerte Doherty, Paul
Alejandro Magno y las águilas de Roma Negrete, Javier
Alejangro Magno en la casa de la muerte Doherty, Paul
Alexias de Atenas Renault, Mary
Alfa y Omega 01 - Cry Wolf Brigss, Patricia
Alfabeto del Crimen - F de Fugitivo Grafton, Sue
Algo habrán hecho Cabrejas, Elena
Algo Para Nosotros Temponautas Dick, Philip K
Alguien voló sobre el nido del cuco Kesey, Ken
Alia, la sublime Bosch, Alfred
Alicia en el pais de las maravillas Carroll, Lewis
Almas perdidas Barker, Clive
Almas torturadas Barker, Clive
Almirante En Tierra O'Brian, Patrick
Almuerzo en el Restaurante Gotham King, Stephen
Alpha Centauri, la estrella más próxima Asimov, Isaac
Alrededor de la ciudad Higgins Clark, Mary
Alrededores de cemento Lumley, Brian
Alucinogenia Koontz, Dean R
Alumno aventajado King, Stephen
Alvar Núñez Cabeza de Vaca Maura, Juan Francisco
Alvin Maker 01 - El séptimo hijo Scott Card, Orson
Alvin Maker 02 - El profeta rojo Scott Card, Orson
Alvin Maker 03 - El aprendiz Scott Card, Orson
Alvin Maker 04 - El oficial Scott Card, Orson
Alvin Maker 05 - Fuego del Corazón Scott Card, Orson
Alvin Maker 06 - FLa ciudad de Cristal Scott Card, Orson
Amanecer Bloch, Robert
Amaneceres Cautivos Hidalgo, Nieves
Amenaza bajo el mar Cussler, Clive
Amenaza en el Ártico Jurjevics, Juris
American Gods Gaiman, Neil
American Psycho Ellis, Bret Easton
Amigos en las altas esferas Leon, Donna
